text,sentiment,category,keyword
내가 국회의원해도 고민정보다는 낫겠다. 왜케 무식하노?,부정,기타,정치 비판
근데 저 분도 문재인이 나라 말아먹고 갈라 치기나 하고 있을 때 거기 멤버 아니었나요? ㅋㅋㅋㅋㅋㅋㅋ,부정,기타,정치 비판
고민정아웃!!,부정,기타,정치 비판
그러니 수박이라는 말을 듣는거야,부정,기타,정치 비판
"곧 50은 젊은 정치인인가?
본인 스스로 사회에선 ceo 나이라고 하는데,
본인이 젊다고 우기는게
오히려 영포티 감성아닌가?

곧 50이 본인 최대장점을 젊음이라고 주장하는게 아이러니하다",부정,기타,정치 비판
어리다고 좋은게아니야 생각좀하고 살아라2030이 문재인을왜싫어할까,부정,기타,정치 비판
민주당 젊어져야 한다는 말을 영포티가 처하고 있네 ㅎㅎㅎ,부정,기타,정치 비판
남성의 권한을 뺏은게 없어??????? 뺏은게 없는데 남자애들이 왜 발작했겠니,부정,기타,정치 비판
"고민정이 깜량도 안되는 것이 왜
나오려 하는지~~  전혀 관심 없다ㆍ 보완수사권 완전폐지 만이 검찰개혁 완수다 ㆍ",부정,기타,정치 비판
"고민정이 착각하는게 국민들은 이제 고일대로 고인 86을 거부한다니까?
로제 개고기, 마라 개고기 좀 그만 팔았으면",부정,기타,정치 비판
"문제점이 있으면, 대안을 갖고 말하는 거지! 지적질은 초등학생수준.",부정,기타,비판
전세 살이. 고민정  . 된다,중립,기타,전세
너는 어차피 신뢰가 없는 인물임~,부정,기타,신뢰
얙 좀 이상헤~사실 관겨 파악도 좀 하고 공부도 좀  하고~지랄이던 연병이던 떨어라~못났다!!!,부정,기타,비판
피해호소인만 생각납니다.,부정,기타,피해
고민정 얜 또 왜 기어나오냐. 토나오겠네.,부정,기타,비판
미모 여전하네. 예전에 고민정 오세훈 토론회 할때 둘다 너무 잘생기고 예뻐서 깜짝놀람. 외모도 경쟁력이다.,중립,기타,외모
고민정. 실력으로 이겨. 실력이 없으면 안되는 거야.,부정,기타,실력
